"Object","Filter","Cadence","MJD","Duration","Flux","Error","Coadd"
"Mrk509","SX",1027,57855.16577,473.8799808,1.037825,0.081206,FALSE
"Mrk509","UVW2",1027,57855.1667607213,147.774919986725,4.0127295,0.066461985,FALSE
"Mrk509","V",1027,57855.1678808053,36.7727200388908,1.1484124,0.038272535,FALSE
"Mrk509","UVM2",1027,57855.168822562,117.798480033875,3.6159447,0.07412544,FALSE
"Mrk509","UVW1",1028,57855.5068238317,73.7660800218582,3.392661,0.068568476,FALSE
"Mrk509","U",1028,57855.5075122399,36.7837399840355,2.5236486,0.061431154,FALSE
"Mrk509","B",1028,57855.5079906523,36.7727199792862,1.3962258,0.036374115,FALSE
"Mrk509","HX",1028,57855.50813,473.8799808,0.670825,0.065198,FALSE
"Mrk509","SX",1028,57855.50813,473.8799808,1.003504,0.079584,FALSE
"Mrk509","UVW2",1028,57855.5091258042,147.774919986725,4.22985,0.06916819,FALSE
"Mrk509","V",1028,57855.5102446111,36.7727199792862,1.12734995,0.03818012,FALSE
"Mrk509","UVM2",1028,57855.51118624,117.379199981689,3.7056102,0.075503114,FALSE
"Mrk509","UVW1",1029,57856.0284569216,171.760499954224,3.4240392,0.051166285,FALSE
"Mrk509","U",1029,57856.0299976995,85.7699199914932,2.4402155,0.043498202,FALSE
"Mrk509","B",1029,57856.0310448692,85.7588800191879,1.4049566,0.025661684,FALSE
"Mrk509","HX",1029,57856.0321,975.3400512,0.796544,0.054018,FALSE
"Mrk509","SX",1029,57856.0321,975.3400512,1.016371,0.060881,FALSE
"Mrk509","UVW2",1029,57856.0335917628,342.759720027447,4.045762,0.05210175,FALSE
"Mrk509","V",1029,57856.0361274186,85.7809399962425,1.12053675,0.026367837,FALSE
"Mrk509","UVM2",1029,57856.0378114076,196.385960042477,3.5774975,0.061268995,FALSE
"Mrk509","U",1030,57857.0903230154,80.7830200195312,2.4229364,0.04402877,FALSE
"Mrk509","B",1030,57857.0913106149,80.7830199599266,1.422422,0.026478192,FALSE
"Mrk509","HX",1030,57857.09263,987.876,0.761357,0.055328,FALSE
"Mrk509","SX",1030,57857.09263,987.876,1.138932,0.067642,FALSE
"Mrk509","UVW2",1030,57857.0937285354,323.772040009499,3.970456,0.052048893,FALSE
"Mrk509","V",1030,57857.0961250667,80.772000014782,1.146501,0.027388932,FALSE
"Mrk509","UVM2",1030,57857.0980028339,235.453539967537,3.5685254,0.05771438,FALSE
"Mrk509","UVW1",1031,57858.4138293616,157.781800031662,3.4696692,0.05307354,FALSE
"Mrk509","U",1031,57858.415249403,78.7750400304794,2.4977956,0.04568517,FALSE
"Mrk509","B",1031,57858.4162216153,78.7639999985695,1.4283195,0.026784246,FALSE
"Mrk509","HX",1031,57858.41763,990.3840192,0.809191,0.051617,FALSE
"Mrk509","SX",1031,57858.41763,990.3840192,1.227427,0.06349,FALSE
"Mrk509","UVW2",1031,57858.4185761349,316.777180016041,4.0657256,0.053320936,FALSE
"Mrk509","V",1031,57858.4209196088,78.7750400304794,1.1029016,0.026850553,FALSE
"Mrk509","UVM2",1031,57858.4228960209,253.790259957314,3.5892333,0.056651173,FALSE
